gene	eml.me2	eml.me3	epo.me2	epo.me3	name
72267	0.00591117198193728	-0.120373684354642	0.360515990275273	-0.101365119172757	1810049O03Rik
17096	1.56101652017563	1.37265175201785	1.57433248403384	1.29737352095950	Lyn
497097	0.0970870247175794	0.178206863155896	0.0584801811502062	0.0352287592838143	AY534250
66540	1.47153199840502	1.13484812055029	1.38101992830598	0.846667558387538	3110001A13Rik
21856	1.41762291139182	1.27238506650112	1.39333666407761	1.22894061113148	Timm44
12660	1.17214677272430	0.822087713874157	1.16324129141856	0.768149246754597	Chka
67210	1.55112631375759	1.21555533367781	1.31127096595868	1.04845689992564	Odag
224480	-0.113695359013236	-0.0410334460175484	-0.0295727887873326	-0.0110786889435397	Nox3
75010	0.0190863053822605	0.124391743191461	-0.00128318688399595	-0.0430534603379207	4930511M11Rik
15568	1.13648026598477	-0.00377456877888317	0.805659386031744	-0.0587283333019777	Elavl1
52864	1.36085004241037	1.20650819067702	1.54073213917015	1.37938779758698	Btbd12
108841	0.987006237102155	0.905149198154519	0.96483523485599	0.884949090390488	Rdh13
70405	0.61010253807502	-0.0516639142609768	-0.0271611124624243	-0.0399797872409161	Calml3
67425	0.513008299230433	-0.0836770560400191	0.0935298841070973	-0.123231575107956	Eps8l1
20300	0.0798239375846047	-0.000743332664067098	0.0132014381102537	0.00728145125112593	Ccl25
18390	0.0344170275217628	0.0995070149446064	-0.0417800060360459	0.075773108345154	Oprm1
12311	-0.0250613714165421	-0.043884563325867	-0.0689267495819089	-0.0283611880110584	Calcr
67689	0.0657669735019428	-0.308730336867372	-0.275094094651607	-0.424043983156737	Aldh3b1
80796	0.791051872088339	-0.0935703517571139	0.185566059021371	-0.150391434489013	Calm4
54445	1.26425614254416	0.693923212600346	0.404894259030943	0.147915987110512	Unc93b1
442813	-0.0251650588568147	0.150007103350228	0.199995759024560	-0.100641685053865	9430025C20Rik
494124	0.953667151657535	-0.0745912818961297	0.0586382725424857	-0.166712618458017	Calm5
68015	1.64868578633205	1.19259494952331	1.44339563882684	1.21513535628622	Trap1
67427	1.23649732166683	1.18818563831049	1.30529440843729	1.11891117832168	Rps20
20403	0.581746663151515	-0.0232234111613157	0.749431686856072	-0.0207459465006555	Sh3d1B
106064	1.34446775985838	1.17984970365494	1.46176010322464	1.24045494692506	AW549877
17995	1.51136189401427	1.39579770144771	1.46546068560895	1.37912447178288	Ndufv1
17451	0.939069345678634	0.758064513683608	1.12183346081086	0.697408532559008	Mos
56349	1.39766608951486	1.35981809549728	1.45850672097621	1.29860551907841	Net1
67041	1.44794610868015	0.927729990681935	1.13413594782970	0.74047696320558	Oxct1
21452	1.24974813470894	0.748798128621194	1.17957106606145	0.763957848274491	Tcn2
83428	-0.138428145335374	-0.148934635085326	-0.106589061394277	-0.233734167780882	Ucn3
67260	1.38404911061592	1.00421618904350	0.938974432483242	0.5959818626851	Lass4
225884	0.687765798638207	0.339616898593363	0.937522500831669	0.449862107773680	BC021614
544753	0.0395691545311767	-0.350625506851904	0.304547775879359	-0.243158918488588	LOC544753
64934	1.50279978653853	1.27772561236073	1.44954020768287	1.24412169541389	Pes1
67055	-0.654212781852213	-0.6961282981649	-0.51379693427088	-0.764870581625444	2610042L04Rik
29866	0.22111932875183	-0.182150301022558	0.746529459131514	-0.141851660102408	Cabp2
208595	1.26717345485601	1.27909610346641	1.30354524402758	1.23250329282721	MTERF
74855	-0.0759783622595429	-0.0848838770815895	0.300705273997779	0.080310097181233	4930417G10Rik
21789	-0.115108053944496	-0.0583861084612503	-0.0551679202743149	-0.0175455660532787	Tfpi2
103655	0.467646910760554	-0.0850806929955406	-0.0946321377215497	-0.108183244672065	Sec14l4
66245	1.32759462868528	0.927807730304457	1.42222462272683	1.21631850399141	1500019G21Rik
100986	1.33529743926096	1.09331384750561	1.29272527563121	0.97702179596402	Akap9
381979	0.128986123516716	-0.145188009308748	0.136451455276912	-0.148185290147181	Brsk1
14699	-0.0532232120440023	-0.0098344231636585	-0.00731807210359419	0.0256533940960692	Gngt1
242285	-0.153858144359176	-0.0775161163610636	-0.0791629792286964	-0.097034915676607	Rdhe2
66066	0.0364685658422551	-0.033645051997772	-0.0347412967669138	-0.0283611880110584	Gng11
107239	1.40355909647198	0.669041417528312	1.00379536887797	0.619024589779098	AI790298
330460	1.26240534675093	0.460092247926429	0.228977974765817	-0.0724008152559277	BC022651
233987	1.18835093660112	1.16121085220472	1.2320953646546	1.13782458139212	BC003267
232811	1.57744835468989	1.34327191098624	1.53644813122249	1.32055391707182	Suv420h2
19367	1.67765335771337	1.39468870657167	1.38705601144961	1.33890931356459	Rad9
56708	1.30398363783162	0.422419193319151	0.115330356840612	0.0771693987688057	Clcf1
67815	1.56938279315508	1.07053144360931	1.46318557266278	1.17209955111160	Sec14l2
66488	0.00874080892641429	-0.140507313732233	0.149032317827728	-0.169492686228880	2010309E21Rik
69745	1.39659094327514	0.802344719903139	1.20546265268600	0.961830084693818	Pold4
71673	1.20764023411530	0.761261368385957	1.05244409763585	0.682266027429274	0610009J22Rik
105349	0.0395258191927099	0.0225061253869779	0.0194747248521876	-0.0149046259402038	Akr1c18
12068	1.25990417077980	1.14401634180197	1.25598057225326	1.07173296212407	Bet1
77891	1.59117997420969	1.38419069818193	1.55626146136899	1.36140885937474	Ube2s
18619	0.128100172994292	0.122882359258968	0.034650825126771	0.0350680069775463	Penk1
545401	-0.09875096209512	-0.190032808834431	-0.0806607138597942	-0.199252803441157	LOC545401
27384	1.18038019564236	0.790403299173803	0.685875453458603	0.283563694764650	Akr1c13
103724	1.42331549550769	0.985973820649652	1.23792404211545	0.940865249957408	Tbc1d10a
217379	1.13083954094954	0.9989589594997	1.31523811329199	1.15059180854281	Ubxd4
232813	0.0211604355736521	-0.00757286155712009	-0.0610450871327317	-0.0667210386371433	D430041B17
11515	0.441478905341864	0.450874585423215	0.516825564924845	0.215353949708441	Adcy9
110355	1.81390397894676	1.27777969377595	1.41589360656836	0.943325770603876	Adrbk1
13121	1.54449811771362	1.37415573706363	1.52844227916244	1.36674815806677	Cyp51
67441	1.28141368814874	1.17300718058671	1.28456863095737	1.10761762575022	0610042E07Rik
546558	-0.0294040267201973	-0.0212821894785883	0.244785614894487	-0.0207459465006555	LOC546558
18413	0.587722633508094	-0.0558569323070324	0.699092322889399	-0.0365039399331034	Osm
20419	1.27697261680733	1.07560438549405	1.2770179584311	1.02619656468435	Shcbp1
239318	-0.104085203128203	-0.126824696722582	-0.115853032432706	-0.0844742091018897	Plcxd3
16878	1.06130197679990	0.356124946464056	1.04495792336849	0.558308838891515	Lif
67328	-0.173151482476806	-0.222200662991578	-0.146293620833413	-0.203099279136492	Lyzl1
225876	1.55806217299999	1.28590842899820	1.54667008295116	1.28066598152852	Fbxl11
106393	0.169065917202638	-0.192077200492218	-0.0123612419323823	-0.223645373818076	Srl
545725	1.45783702941009	1.44861166319340	1.46959580005205	1.41772319536226	LOC545725
11854	0.887414720840396	0.00082106763085306	0.752653926698602	0.00264893047363804	Rhod
83383	1.43079901054289	1.36858372297447	1.35133658411934	1.26130763415505	Tcfap4
68490	1.43592158562605	1.05685391538704	1.10176830054335	0.678514500979248	1110003A17Rik
83396	0.98184268145379	0.515764006902022	0.168044513425948	0.097119342750852	Glis2
171180	0.752754446574846	0.0258993023663469	0.00583151967736041	0.00421216162206743	Syt12
69861	0.091462356074171	-0.125645130849719	0.29412456855616	-0.197719307210716	2010003K11Rik
78100	0.219219596550205	-0.0873562278482831	0.340240647254394	-0.0474363858686032	8430410K20Rik
22185	1.18109439741197	0.414241913533883	1.45166886665596	0.669173501815055	U2af2
19888	-0.081330443227689	-0.0422663944666823	-0.074487654077781	-0.0218108926967572	Rp1h
83702	-0.0444509094021280	-0.0171595125419036	-8.98561321211397e-05	-0.0207459465006555	Akr1c6
26410	1.57154370481978	1.16585215810195	0.757673036069115	0.453308522832097	Map3k8
192658	-0.141076538665869	-0.136046339585751	-0.0495687671207045	-0.130714131486605	Rfpl4
19428	0.693119785075257	0.748903756680843	0.334086987520137	0.298529785926448	Rasl2-9
67440	1.46647975340087	1.14191577124331	1.45598977266548	1.13131080399963	Papd1
18563	-0.113951428450666	-0.19954388251404	-0.0639910133211727	-0.211284830450514	Pcx
67824	1.21568726437088	1.01165198472398	1.30569088449297	1.07090934780725	1110025F24Rik
15369	-0.0552554612032304	0.281680763376332	-0.0520839800675173	0.0518288364870231	Hmox2
116852	-0.00723325001651525	-0.0448187564489662	-0.0442118587239928	-0.0207459465006555	Akr1c20
20671	0.998006751885155	0.36204273532998	0.0252255157157066	0.102191790451504	Sox17
12843	0.0843758937848915	0.0123378175107824	0.0536221254821356	-0.00290292929119467	Col1a2
66626	0.995474772189996	0.812437939821039	0.90070995183014	0.788852162803053	5730403B10Rik
77337	-0.0623078568632221	-0.0581301470412034	-0.035639834741461	-0.0452709354541641	Akr1c21
20494	-0.145855005751836	-0.0806758764686932	-0.105881187478645	-0.0325430886479185	Slc10a2
74302	1.50188094888671	1.02767899685282	1.55241574463102	1.19491780152575	Mtmr3
