Probe Set ID	SL2_1_Exp	SL2_2_Exp	Clone8_1_Exp	Clone8_2_Exp	SL2_1_Call	SL2_2_Call	Clone8_1_Call	Clone8_2_Call
1624529_at	23706.8	23537.7	25526	26793.9	P	P	P	P
1635037_at	141.8	145	209.5	160.1	A	A	M	P
1623875_at	1025.9	889.8	1997	2172.5	P	P	P	P
1629088_at	369.1	466.4	416.3	423.7	P	P	P	P
1636262_at	756.6	785.5	533.1	498.8	P	P	P	P
1637441_at	39	52.6	35.7	5.9	A	A	A	A
1630080_at	617.6	429.9	993.4	1018.9	P	P	P	P
1627945_at	516.9	418.8	765.2	622.9	P	P	P	P
1638730_at	76	14.5	13.4	35.1	A	A	A	A
1639254_at	12	4	23.8	4.2	A	A	A	A
1630105_at	595.4	728.5	1634	1432.2	P	P	P	P
1629459_at	84.1	67.2	90.5	42.9	A	A	A	A
1626182_a_at	1119.1	909.3	1787.8	1393.6	P	P	P	P
1633375_at	758.4	616.9	1228.2	1273.9	P	P	P	P
1632417_a_at	3607.7	3147	3563.4	3291.7	P	P	P	P
1637294_at	20	28.8	11.8	18	A	A	A	A
1641092_at	117.4	73.7	243.3	337.1	P	P	P	P
1636098_at	684	661.7	77.6	50.4	P	P	P	P
1635267_s_at	135.1	69.4	2.3	23.4	P	P	A	P
1627279_at	21.7	12.6	19.8	3.2	A	A	A	A
1641451_at	672.4	722.1	914	1550.9	P	P	P	P
1634672_at	2903.9	2561.8	2307.4	2841.4	P	P	P	P
1635470_at	1068.4	1215.1	612.1	652.3	P	P	P	P
1641268_at	17	10.4	20.2	6	A	A	A	A
1637490_at	78.4	78	73.2	30.7	A	A	A	A
1637946_at	769.4	868.1	614.7	609.7	P	P	P	P
1624957_a_at	2106	1854.1	1430.9	668.1	P	P	P	P
1626427_a_at	365.1	174.1	173.3	101.2	P	P	P	P
1623955_at	374.7	386	453.5	579.9	P	P	P	P
1634002_at	76.5	148.3	225.9	139.7	A	P	P	P
1631718_at	1906.1	2745.9	2813.6	3110.1	P	P	P	P
1631218_at	78	25	87.7	32.3	M	A	P	A
1625118_at	39.2	17.2	20.6	8.8	A	A	A	A
1629205_at	1630.9	2183	177.7	98.6	P	P	P	P
1635005_a_at	4.6	4.2	22.8	16.5	A	A	A	A
1641096_s_at	61	15.5	67.8	42.8	A	A	P	P
1629948_at	24.5	17.2	22.8	22.8	A	A	A	P
1641681_s_at	1163.8	1229.9	976.5	980.3	P	P	P	P
1624014_at	224.1	290.1	336.6	458.5	P	P	P	P
1636238_at	185.6	176.4	188.3	180.2	P	P	P	P
1629427_at	153	133.3	335.1	261.7	A	P	P	P
1638851_at	50.1	61	42.5	18.4	A	A	A	A
1627434_at	794.6	734.2	208.7	297.7	P	P	P	P
1624556_s_at	12.7	3.6	8.8	2.5	A	A	A	A
1623274_s_at	69.8	62.5	217.6	145.9	P	A	P	P
1638005_s_at	277.5	327.3	443.6	569	P	P	P	P
1622904_at	145	60.3	91.2	41.2	P	A	P	P
1632376_at	24.1	7.2	61.4	23.8	A	A	A	A
1625633_a_at	9081.7	6171.1	334.3	259	P	P	P	P
1628125_at	11.2	8.1	49.5	5.8	A	A	A	A
1627367_at	74.8	22.4	55.2	4.7	A	A	A	A
1638274_s_at	2589.6	1750.4	4861.5	3349.5	P	P	P	P
1623044_at	60.4	31.9	52.7	41.7	A	A	A	A
1632988_at	76.7	31.7	117.1	17.6	M	A	M	A
1637415_at	13.6	5.7	9.8	3.2	A	A	A	A
1634091_at	15.7	8.4	29.8	8.8	A	A	A	A
1638763_at	177.9	214.3	152.4	29.5	P	P	P	A
1641212_a_at	166.7	156	126.4	32	P	P	P	A
1624839_at	1977.2	2418.5	9088.5	9596.1	P	P	P	P
1631400_at	9.7	12.9	10.9	1.2	A	A	A	A
1631556_at	18.5	60.9	20.9	12.6	A	A	A	A
1636483_at	511.6	536.9	286.1	203.4	P	P	P	P
1629380_at	5.1	6.5	8.5	3.6	A	A	A	A
1631517_at	1332.9	1575.9	1446.6	2343.5	P	P	P	P
1628489_at	76	130.4	280.1	370.8	P	P	P	P
1637702_at	8.7	11	6.1	26.2	A	A	A	A
1626642_at	56	41.6	106.7	48.2	A	A	P	A
1629955_at	66.9	50.3	26.5	22.6	A	A	A	A
1624976_at	71	58.1	53.8	34	P	P	A	P
1629063_at	10	15.7	11.3	7.3	A	A	A	A
1633197_at	59.8	30.5	45.4	3.6	A	A	A	A
1629935_at	18.2	5.2	7.8	5.3	A	A	A	A
1634064_at	6.5	8.4	7.8	4.3	A	A	A	A
1628105_a_at	2.8	2.5	3.3	0.5	A	A	A	A
1632854_s_at	12	6	9.7	6.7	A	A	A	A
1638137_at	4.9	5.8	10.1	3.3	A	A	A	A
1639767_at	19.5	61.8	80.1	32.6	A	A	A	A
1632111_at	25.9	52.3	61.2	44.4	A	A	A	A
1623658_at	6.7	3.3	3.2	4.1	A	A	A	A
1638246_at	15.1	13.3	7.9	2.5	A	A	A	A
1627825_at	6.7	64.8	34.1	34.8	A	A	A	A
1637821_at	54.3	28.7	28.6	21.6	A	A	A	A
1622921_at	2411.2	3046.9	1051.1	1137	P	P	P	P
1623914_at	19303.5	20204.1	19777.3	19604.2	P	P	P	P
1625625_at	5.7	4	29.3	2.2	A	A	A	A
1631375_a_at	4.7	4.4	10.9	1.9	A	A	A	A
1634661_at	3.5	2.4	3.3	1.4	A	A	A	A
1631417_s_at	25.9	2.5	32.7	7.3	A	A	A	A
1639157_at	4.8	26.9	2.4	7.3	A	M	A	A
1628141_at	2098.8	1964.1	5609.5	6449.2	P	P	P	P
1641427_at	1639.5	1285.6	1349.8	1586.5	P	P	P	P
1630129_at	5.8	3.8	22.1	2.9	A	A	A	A
1631774_at	137.4	104.3	183.2	78.9	A	P	A	A
1626536_at	2704.7	3379.9	602.8	1963.8	P	P	P	P
1634814_at	245.4	177	229.4	242.5	P	P	P	P
1632121_a_at	7	9.7	4	3.9	A	A	A	A
1629383_a_at	69.1	47.2	32.3	28.1	A	A	A	A
1631326_at	7.2	17.2	6	0.4	A	A	A	A
1626708_at	1286.7	785	2777.2	1792.5	P	P	P	P
1635580_at	6.8	7.3	86.8	128.2	A	A	P	P
1633854_at	290.2	542.5	1554.1	1570.3	P	P	P	P
1637801_at	43.3	45	9.3	34.4	A	A	A	A
1638635_at	652.4	621.2	589.1	696.9	P	P	P	P
1632912_s_at	538.6	352.3	386.5	466.5	P	P	P	P
1632497_a_at	663.5	614.9	842.2	896.6	P	P	P	P
1632993_at	58.9	37.9	24.2	20.7	A	P	A	A
1629943_at	650.3	613.3	1060.8	950.2	P	P	P	P
1628861_at	16.2	13.7	16.8	8.4	A	A	A	A
1639873_at	244	199.3	529.7	409.4	P	P	P	P
1640635_a_at	4622.4	3759.4	5189.9	5017.4	P	P	P	P
1624560_at	2924.6	2757	2609	2463.3	P	P	P	P
1624888_at	229.6	322.7	384.2	597.6	P	P	P	P
1625538_at	86.7	64.6	55.4	30.5	A	A	A	A
1629445_at	20	23.3	2.6	13.7	A	A	A	A
1639696_at	7.4	2.7	8.4	6.5	A	A	A	A
1623199_a_at	23.7	75.1	25.2	10.3	A	A	A	A
1628872_at	6.1	4	2	1.8	A	A	A	A
1634314_s_at	4317.7	4828.6	6125.2	6241.1	P	P	P	P
1627247_at	157.2	89.7	132.9	91.9	P	P	P	P
1641052_at	102.4	87.1	94.2	57.3	M	P	P	P
1636247_at	82.3	59.5	228.8	173.3	A	A	P	P
1624267_at	631.8	885	1040.2	1445	P	P	P	P
1636643_at	608.9	779.5	251.4	416.9	P	P	P	P
1627845_at	1011.2	1715.7	2845.5	3228.9	P	P	P	P
1638074_at	275.4	199.5	749.7	940.6	P	P	P	P
1635732_at	4.4	7.9	12.5	4.3	A	A	A	A
1640561_at	1108	986.7	997	1093.9	P	P	P	P
1637818_at	10.9	4	42.2	2.5	A	A	A	A
1635996_at	444.7	637.3	1069.3	940.8	P	P	P	P
1634988_a_at	42.5	25.6	108.6	110.6	A	A	A	P
1622892_s_at	492.2	400.6	642.8	779.3	P	P	P	P
1636276_at	977.5	803.7	1980.9	1484.4	P	P	P	P
1635563_at	279.7	178.2	354.7	291.7	P	P	P	P
1631019_at	330.5	401.1	524.4	653.4	P	P	P	P
1628214_at	911.9	620.1	1464.4	1162.4	P	P	P	P
1633106_at	622.4	486.7	1338.4	903.4	P	P	P	P
1629882_at	131.9	149.1	141.7	226.2	P	P	P	P
1639102_at	931.7	876	630.5	731.5	P	P	P	P
1625458_a_at	4746.6	5401.9	5646.8	6477.6	P	P	P	P
1624876_at	75.7	98.6	73.3	70.2	P	P	P	P
1626157_at	33.8	29	43.4	7.3	A	A	A	A
1640039_at	89.1	61.7	47.9	28.6	P	P	A	A
1624396_at	1863	1539.8	2080.5	1573.8	P	P	P	P
1631613_at	404.8	255.6	248.1	248.7	P	P	P	P
1640500_at	5.2	6.4	5.1	26.5	A	A	A	A
1631965_at	603.2	629.3	770.2	768.7	P	P	P	P
1636778_at	6.1	7.4	8.2	17.1	A	A	A	A
1632722_x_at	9.4	1.4	7.8	1.8	A	A	A	A
1631354_x_at	58.2	32.9	53.8	36.1	A	A	A	P
1626571_at	117.6	132	145.7	216.7	A	A	A	P
1636799_at	24.1	8.2	8.4	16.4	A	A	A	A
1635126_a_at	847.1	837.4	472.6	1012.9	P	P	P	P
1632067_at	19.9	71.6	16.3	58.2	A	P	A	P
1623244_at	549.2	385.1	567.8	373.6	P	P	P	P
1627711_at	1213.1	882.2	988.6	933.8	P	P	P	P
1626543_at	825.1	661.4	838.8	624.6	P	P	P	P
1633484_at	12.8	6.5	9.4	6.5	A	A	A	A
1641366_at	31	46.5	71.9	41	A	A	A	P
1629109_at	404	328.6	771.3	953.3	P	P	P	P
1628995_at	11.5	2.9	15.9	10.3	A	A	A	A
1630024_at	365.8	235.3	499.4	334.9	P	P	P	P
1631792_at	49.7	14.8	21.4	43.4	A	A	A	P
1631729_at	569.6	503	515	609.1	P	P	P	P
1623872_at	40.1	29.7	13.9	13.6	A	A	A	A
1638294_at	381.9	468.1	417.8	461.4	P	P	P	P
1624118_at	492.6	495.3	531.6	728	P	P	P	P
1639602_s_at	803.4	697	1068.8	1065.9	P	P	P	P
1636078_at	19.9	28.3	12.5	7.4	A	A	A	A
1636423_at	43.5	18.1	20.8	26.9	A	A	A	A
1627553_at	82.5	82.4	99	30.5	A	P	M	A
1625569_at	1577.1	671.1	704	327.5	P	P	P	P
1632321_a_at	13.9	11.3	43.4	5	A	A	A	A
1629067_at	27	7	31.8	14.9	A	A	A	A
1637106_at	460.9	436.2	481.7	522.9	P	P	P	P
1631381_at	3217.1	3681.5	3666.8	5640.2	P	P	P	P
1639746_at	281.5	316.1	692.7	692	P	P	P	P
1626968_at	4262	3211.7	1896.8	2205.6	P	P	P	P
1630816_at	2885.8	2802.7	3227.8	3110.5	P	P	P	P
1632155_at	9.5	7.5	26.6	14	A	A	A	A
1636105_at	29.9	26.6	25.7	17.8	A	A	A	A
1633056_at	6.2	12.5	19.1	2.3	A	A	A	A
1636234_at	25.5	1.2	33.4	3.2	A	A	A	A
1635863_at	2141.4	2715.7	3030.1	3932.9	P	P	P	P
1623716_at	6004.1	7037.1	5047.7	5526.1	P	P	P	P
1624765_at	1241.8	1549.7	1600.2	2178.5	P	P	P	P
1639129_at	32.6	13.1	24.2	22.9	A	A	A	M
1634559_at	3.6	3.4	2.8	1.8	A	A	A	A
1631098_at	1137.5	1234.1	1163.7	509.5	P	P	P	P
1636093_a_at	77.5	31.8	150.3	104.7	P	P	P	P
1623031_a_at	325.1	333.7	326	503.6	P	P	P	P
1622979_a_at	3112.5	2800.1	3782.5	3003.6	P	P	P	P
1633498_at	22.2	73.1	44.3	41.9	A	P	P	P
1623339_at	255.8	231.1	628	690.3	P	P	P	P
1633123_at	28.9	7.1	25.7	3.3	A	A	A	A
1637265_at	169.1	131.7	423.6	304.9	A	M	P	P
1629069_at	195.9	235.1	249.8	323.4	P	P	P	P
1636401_a_at	1085.4	1469.5	2242.4	2519.5	P	P	P	P
1632870_at	84.3	66.1	20.6	13.9	P	P	A	A
1628913_at	63.4	26.8	188.1	103.9	A	A	P	P
1636484_at	4008.3	2232.3	4753.1	4635.7	P	P	P	P
1641043_at	124.7	199.6	309.1	358	M	P	P	P
1631648_at	732	1107.3	1304.8	2198.9	P	P	P	P
1625389_at	2092.2	2095.9	2380.4	2580	P	P	P	P
1624300_s_at	106.2	190.8	339.4	370.8	P	P	P	P
1637834_at	14.2	2.7	4.7	1.5	A	A	A	A
1626834_at	26.3	33.6	2.2	21.4	A	A	A	A
1636566_at	3465.3	4981.8	299.3	698.4	P	P	P	P
1635093_a_at	399.6	316.5	564.3	462.9	P	P	P	P
1629941_a_at	2020	3099.1	4984.2	6388.7	P	P	P	P
1632009_at	3.8	6.6	11.4	38.2	A	A	A	A
1624863_a_at	741.9	663	910.2	744.3	P	P	P	P
1632129_a_at	448	368.9	767.1	584.3	M	P	P	P
1635649_at	397.9	508.3	1471	2129.4	P	P	P	P
1631948_s_at	4.2	4.7	5.2	13.9	A	A	A	A
1627436_s_at	316.7	259.5	597.8	606.3	P	P	P	P
1627449_at	635.3	580	1477.6	1093.9	P	P	P	P
1623785_a_at	1513.6	1739.4	2466.2	3795.2	P	P	P	P
1637034_at	4.9	1.9	2.2	0.7	A	A	A	A
1633286_at	0.8	0.7	8.1	2.1	A	A	A	A
1640515_s_at	1381.2	1552.5	2249.4	1956.6	P	P	P	P
1630483_a_at	1090.9	981.3	1033	916.3	P	P	P	P
1633545_at	1085.6	6993.2	155.9	187.6	P	P	P	P
1627577_at	89.6	64.4	89.6	37.8	A	A	A	P
1630243_at	63.1	28.2	93.7	31.7	A	A	A	A
1626566_at	395.2	409.3	1757.9	2666.7	P	P	P	P
1628945_at	6.8	4.5	3.6	2.8	A	A	A	A
1637212_at	54.6	44.2	34.4	15.9	A	A	A	A
1638325_at	18.7	38.2	6.5	2.4	A	A	A	A
1634540_at	33.2	20.2	28.6	22.5	P	A	A	P
1624389_at	119	37.7	99.7	47.1	P	A	P	P
1636094_at	9.3	5.9	2.3	3.6	A	A	A	A
1630163_at	2.9	78.8	5.6	21.4	A	A	A	A
1637851_at	23.1	7.9	5.8	9.5	A	A	A	A
1633313_at	15.5	0.7	10.1	0.3	A	A	A	A
1631662_a_at	10.4	15.9	34.7	3.3	A	A	A	A
1630219_at	8.6	2	3.5	19.1	A	A	A	A
1638151_a_at	38.2	5.6	12.9	17.3	A	A	A	A
1639220_at	7.3	5.5	7	4.2	A	A	A	A
1626198_at	59.1	3.5	13.1	14.5	A	A	A	A
1636158_at	14.2	25.4	4.7	1.5	A	A	A	A
1626859_at	13.1	24.1	3.5	4	A	A	A	A
1629369_at	441.1	286	607.2	629.5	P	P	P	P
1631986_at	7.2	3.8	15.5	19.1	A	A	A	A
1632007_at	1224.7	701.9	2055.6	1382.9	P	P	P	P
1637288_at	12	7	12.6	16.8	A	A	A	A
1640337_a_at	19.2	15.9	8.3	7	A	A	A	A
1624837_at	807.1	826	1474.3	1206	P	P	P	P
1628226_at	51.1	27.8	39.2	4.5	A	A	A	A
1623451_at	58.1	61.8	65.8	41.6	A	A	A	A
1638532_at	42.7	8.5	40.8	4.4	A	A	A	A
1634770_at	10.8	6.2	36.6	11.3	A	A	A	A
1636308_at	346.9	332.4	562.4	579	P	P	P	P
1629113_a_at	451.2	528.6	952.5	1215.9	P	P	P	P
1623357_at	297.3	238.6	376.4	453.3	P	P	P	P
1628587_at	166.2	128	398.6	382.3	A	P	P	P
1635967_at	691.2	612.4	879	958.5	P	P	P	P
1640468_a_at	5.8	21.3	7.2	11.2	A	A	A	A
1631583_at	2.4	2.3	3.5	1.3	A	A	A	A
1622915_at	46.7	22.9	31.3	32	A	A	A	A
1636283_at	14.6	2.4	14.9	29.7	A	A	A	A
1624482_at	1540.9	1610.3	3213.9	3620.7	P	P	P	P
1624418_s_at	5197	5809.9	5920.5	8731	P	P	P	P
1626607_at	2793.3	3286.6	2347.7	2487.4	P	P	P	P
1640966_at	2.5	4	4.3	0.7	A	A	A	A
1628340_s_at	2584	3614.8	4771.1	4782.8	P	P	P	P
1632414_at	55	25.2	70	7.5	A	A	P	A
1630590_at	13.7	2.3	8	2.9	A	A	A	A
1633445_at	12	5.6	11.6	2.6	A	A	A	A
1632513_at	850.2	741.9	932.2	1028.5	P	P	P	P
1630302_at	7.9	5.4	19.8	3.9	A	A	A	A
1626420_at	15.3	9.4	25.4	5.1	A	A	A	A
1633298_at	69.4	57.5	70.1	5.4	P	A	A	A
1628355_at	5.7	3.1	4.9	14.5	A	A	A	A
1625347_at	148.1	159.5	381.5	138.9	A	P	P	P
1624680_a_at	782.3	652.2	547.6	585.6	P	P	P	P
1640761_at	992.7	1128.6	1661.7	1925.8	P	P	P	P
1636357_at	5.4	4.5	7.8	6.6	A	A	A	A
1640303_a_at	189.1	169.4	9147.8	7445.4	P	P	P	P
1641251_at	238.9	240.2	347.6	404	P	P	P	P
1626056_a_at	1671	1475.5	2234.3	2242.6	P	P	P	P
1624321_at	1547.1	1550.7	3675.2	3475.7	P	P	P	P
1629400_at	16658.3	18547.5	18572.4	19272.6	P	P	P	P
1623295_at	18	12	25.1	31.1	A	A	A	A
1633839_at	2.4	6.4	20.8	1.4	A	A	A	A
1633080_at	55.8	28.8	73.2	13.6	A	A	A	A
1626743_at	194.5	227.9	394.5	238.3	A	A	A	A
1625453_a_at	9442.9	10556.4	9545.6	11051.5	P	P	P	P
1626584_a_at	1060.6	697.7	2515.8	1308.4	P	P	P	P
1638272_at	2069.6	2920.4	2631.4	3902.2	P	P	P	P
1639641_at	7.4	4.8	2.7	2.3	A	A	A	A
1626645_at	566.3	520.6	2359	1576.1	P	P	P	P
1627546_at	480.1	488.5	859.2	1056.1	P	P	P	P
1626500_a_at	177.8	189.2	274	287.4	P	P	P	P
1636485_at	42.5	10.8	30.2	9.3	A	A	A	A
1632481_at	1396.1	892.8	4707.3	4490.4	P	P	P	P
1633793_at	5.6	3.1	5.8	9.9	A	A	A	A
1629799_at	23.2	24.2	29.6	2.5	A	A	A	A
1631430_at	389.5	470.5	642.6	717.5	P	P	P	P
1640510_at	443.8	404.5	1080.3	1310	P	P	P	P
1626055_at	70.6	38	46	3.8	A	A	A	A
1633653_at	119.9	38.8	88.8	39.4	M	P	A	A
1624339_at	3784.3	3997.7	3817.5	2703	P	P	P	P
1639948_a_at	10.2	45.7	6.8	14.6	A	A	A	A
1630182_at	17.7	37.3	41.8	24.6	A	A	A	A
1638966_at	7.9	20	6.5	18.1	A	A	A	A
1625572_s_at	25.4	37.3	229.7	240	A	A	P	P
1625552_at	2.5	12	32.6	1.8	A	A	A	A
1626194_at	104.9	60.4	85.3	35.5	A	A	A	A
1623437_at	142.1	57.9	123.2	72.4	P	P	P	P
1628923_at	15.6	38.9	69.8	33.3	A	A	A	A
1640773_at	14.3	62.1	334.3	227.9	A	A	P	P
1622970_at	1652.7	1629.7	1582.6	1448.6	P	P	P	P
1641741_a_at	60.6	33.4	48.8	6.5	A	A	A	A
1631711_at	0.8	0.6	0.2	0.2	A	A	A	A
1624950_a_at	31.3	15.3	11.8	9.6	A	A	A	A
1636659_at	26.4	6.1	44.5	23	A	A	A	A
1623714_at	28	8.2	605.9	877	A	A	P	P
1633251_at	20.5	11.7	13.9	5.9	A	A	A	A
1630109_at	2.9	4.7	14.7	4.9	A	A	A	A
1635070_at	5567.7	5022.3	3562.1	3793.6	P	P	P	P
1625163_at	596.3	509.8	938.1	808.8	P	P	P	P
1629352_at	6213.2	5538	4084.9	6705	P	P	P	P
1627491_at	9544.7	9255.5	4576.1	4532.4	P	P	P	P
1636596_at	832.8	920.6	1140.7	1109.3	P	P	P	P
1626601_at	8.5	5.3	4.9	2.4	A	A	A	A
1625143_at	73	17.2	51.6	7.9	A	A	A	A
1627738_a_at	3831.1	4597	8033.4	7221.9	P	P	P	P
1630477_at	2095.3	1613	4617.2	5989.3	P	P	P	P
1640325_at	107.5	51.8	38.6	36	A	A	A	A
1631056_at	18.3	41.4	6.2	6.8	A	A	A	A
1635475_at	102.6	132.6	2977.5	2440.4	M	P	P	P
1629250_at	4785	3745.4	6694.1	5734	P	P	P	P
1638060_at	710.7	1045.3	1481	1506.6	P	P	P	P
1635439_at	87	147.6	21.1	9.4	P	P	A	A
1623439_at	37.5	7.7	9.7	4.6	A	A	A	A
1629284_a_at	58.5	33.2	42.4	27.5	A	A	A	A
1631893_at	56.9	5.5	16.1	12.6	A	A	A	A
1640626_at	33.4	18.6	24	17.1	A	A	A	A
1631786_at	12.8	4.2	14.4	5	A	A	A	A
1641393_at	31.7	3	5.8	17	A	A	A	A
1633850_at	1176.3	1434	312.7	548.2	P	P	P	P
1628307_at	12	11.2	7	13.6	A	A	A	A
1624391_at	6.2	5.7	32.6	23.4	A	A	A	A
1632199_at	62.1	6.2	309.9	238.7	A	A	P	P
1628225_at	60.7	35.6	62.8	17.2	A	A	A	A
1628729_at	0.1	1.7	0.7	7.2	A	A	A	A
1626412_at	552.7	722.3	834.6	1093.2	P	P	P	P
1634879_at	56.4	46.1	81.7	43.1	A	A	P	M
1624452_a_at	1.2	8.4	9.8	14.1	A	A	A	A
1636812_at	1524	1356.1	2938	2120.5	P	P	P	P
1640789_a_at	46.8	44.2	44.5	11.8	A	A	A	A
1624586_a_at	44.3	50.1	64.5	48	A	A	A	P
1636649_a_at	387.2	499.7	1785.8	1585	P	P	P	P
1633553_s_at	10.4	28.3	4363.8	4955.2	A	A	P	P
1634082_at	38.4	8.4	13	32.6	A	A	A	A
1640017_at	97.9	98.7	155.5	97.8	A	A	P	P
1636177_at	151.7	126.9	320.6	311.1	P	P	P	P
1632356_at	33.7	10.1	28.2	15.6	A	A	A	A
1633583_at	9.8	8.8	8.8	5	A	A	A	A
1624347_s_at	542.5	354.3	67.3	38.3	P	P	A	A
1628537_s_at	683.5	800.1	1470.3	2308.3	P	P	P	P
1637304_at	97.8	83.8	46.1	32.4	A	A	A	A
1628204_at	320.4	304.1	683.1	536.3	P	P	P	P
1631534_at	101.8	101.2	589.5	529.8	P	P	P	P
1641391_at	49.3	18.5	35.8	10.9	A	A	A	A
1633715_s_at	98.8	90.7	223.6	126.6	P	P	P	P
1628979_at	29.9	3.6	17.3	23.9	A	A	A	A
1635773_at	386.6	286.3	611.6	664.6	P	P	P	P
1631078_at	149.9	208.3	25.7	3.8	P	P	A	A
1634330_at	13.1	4.5	9.7	5	A	A	A	A
1624039_at	43.3	118.6	81.9	195.1	A	A	A	A
1625323_at	31.4	48.5	29.6	28.1	A	A	A	A
1640370_at	15.2	23.8	19	3.4	A	A	A	A
1636563_at	5.6	6.1	6.7	16.1	A	A	A	A
1632693_at	20.4	31	2.7	21.7	A	A	A	A
1636658_at	43.1	8.4	44.1	15.5	A	A	A	A
1624080_s_at	1164.2	851.5	2263.7	1768.5	P	P	P	P
1625866_at	1131.1	286.8	405.7	167.8	A	A	A	A
1629340_s_at	21.6	58.1	61.2	51.4	A	A	A	A
1626935_at	4.2	2.1	1.3	7.2	A	A	A	A
1623637_s_at	3.8	4.9	2.1	1.2	A	A	A	A
1632810_at	127.4	150.5	175.3	126.3	A	A	A	P
1637998_at	5.5	4.3	57.8	42	A	A	A	A
1637502_at	8.9	8.6	42.3	6.5	A	A	A	A
1629708_at	53.7	6	50.8	40.4	A	A	A	A
1623124_at	268.8	392.7	436.8	481.8	P	P	P	P
1639831_at	59.2	3	17	16.1	A	A	A	A
1635990_at	83.2	7.2	12.3	28.7	A	A	A	A
1632181_at	85.5	14.7	16	23.9	A	A	A	A
1639418_at	34.5	11.7	62.6	20.2	A	A	A	A
1631925_at	5.9	5	5	2.7	A	A	A	A
1635227_at	9.9	4.9	7372	1009.9	A	A	P	P
1640054_at	618.8	541.4	656.1	734	P	P	P	P
1628809_at	543.6	603.1	456.3	444.3	P	P	P	P
1641324_at	12647.6	11899.6	13805.1	16651	P	P	P	P
1632935_at	111.6	102.9	112.9	62.3	A	P	P	P
1628713_at	73.5	13.3	88.7	23.4	A	A	A	A
1623681_at	7.9	20.8	20.7	10.7	A	A	A	A
1634777_at	66.4	8.9	12.9	36.1	A	A	A	A
1632443_at	339.2	364.4	167.8	182.3	M	P	P	P
1631558_at	14.3	29.7	20.8	27.8	A	A	A	A
1630953_at	3622.3	4334.6	4708	4196	P	P	P	P
1634031_at	2.6	1.4	16.9	8.5	A	A	A	A
1641548_at	1100.8	1455.6	1454.7	2278.9	P	P	P	P
1627182_at	8.1	4.1	6.2	9.7	A	A	A	A
1632500_at	6	23.4	5.7	1	A	A	A	A
1625438_at	14.7	8.1	8.8	3.3	A	A	A	A
1640392_at	131.7	37.9	99.3	34	P	P	P	A
1640533_at	11.3	0.8	3.1	6.4	A	A	A	A
1639720_at	31.6	12.2	50.5	22.8	A	A	A	A
1625662_at	7.9	6.3	7.9	4	A	A	A	A
1633187_at	58.4	27.4	12.8	14.2	A	A	A	A
1637922_at	7.8	6.5	7.9	2.4	A	A	A	A
1626093_at	11.8	6.9	12.3	2.6	A	A	A	A
1640371_a_at	2	5.5	1.4	4.1	A	A	A	A
1637155_at	83.1	126.3	73.6	48.5	A	P	M	P
1632338_a_at	2082.4	1348.3	1757.4	1275.9	P	P	P	P
1623835_at	35.8	4.5	71.9	21.4	A	A	A	A
1628800_at	3.8	2.9	2.3	4	A	A	A	A
1636225_at	343.6	501.9	313.9	507.1	P	P	P	P
1633296_at	85.7	42.6	58.2	2.9	A	A	A	A
1629860_at	5.9	8.3	8.3	1.5	A	A	A	A
1632874_at	98.3	54.3	167.9	42.8	P	P	P	P
1641190_at	96.9	58.8	110.8	35.5	P	P	P	P
1623330_at	6.6	1.5	6.4	8.8	A	A	A	A
1631853_at	1634.2	2160.2	1015	1843	P	P	P	P
1627611_at	67.2	33.5	63.4	11	A	A	A	A
1633779_s_at	2339.3	2094.1	3053	3300	P	P	P	P
1623300_at	2.4	3.2	2.5	15.7	A	A	A	A
1638661_at	30.6	10.3	23.4	2.7	A	A	A	A
1634423_at	6.9	4.7	5.4	13.5	A	A	A	A
1630438_at	1399.6	2014.7	1094.6	1525.3	P	P	P	P
1638087_at	44	13.5	11.5	4.5	A	A	A	A
1640975_at	65.2	27.4	53.7	20.7	A	A	A	A
1626142_at	8.8	2.6	2.6	10.7	A	A	A	A
1633919_s_at	20.4	4.8	5.6	2.8	A	A	A	A
1635198_at	22.4	3.4	36.4	10.1	A	A	A	A
1630166_s_at	4198.5	4462.4	1910.8	2729.3	P	P	P	P
1636460_at	2.4	3	16.5	1.5	A	A	A	A
1623512_at	1.6	1.1	3.5	2.6	A	A	A	A
1630620_at	1182.6	1070.2	723.4	885.6	P	P	P	P
1624751_at	8.9	11	13	4.5	A	A	A	A
1634520_at	33.1	28.5	54.6	61.2	P	P	P	P
1629726_at	110.9	99	65.5	51.8	P	M	P	P
1638020_at	2403.9	2285.2	1071.4	878.4	P	P	P	P
1629050_at	24.3	16.2	52.1	35.5	A	A	A	A
1631017_at	41.5	23.4	61.8	16.1	A	A	A	A
1630363_at	209.9	282.2	281.4	216.1	P	P	P	P
1640221_at	105.6	53.7	69	32.2	A	A	A	A
1631426_at	1654.5	2366.7	143.1	47.3	P	P	P	A
1639605_at	48.3	50.4	173.7	120	A	A	P	P
1627388_at	2.1	1	3.3	0.8	A	A	A	A
1628447_at	45.8	51.8	140.9	67.1	A	A	P	P
1624472_at	9.6	21.6	24.7	7.1	A	A	A	A
1627779_at	1180.5	945.3	1406.3	1143.5	P	P	P	P
1627937_at	20.8	29.6	39.4	4.3	A	A	A	A
1623918_at	1485.3	1362.8	1191.4	994.1	P	P	P	P
1631236_at	18	4	4.2	11.2	A	A	A	A
