Probe Set ID	SL2_1_Exp	SL2_2_Exp	Clone8_1_Exp	Clone8_2_Exp	SL2_1_Call	SL2_2_Call	Clone8_1_Call	Clone8_2_Call
1636414_at	62.2	16.3	80.4	40.3	A	A	A	A
1629576_at	3975.7	3545.5	1901.3	1942.6	P	P	P	P
1629515_at	1436.2	1362.4	809.2	657.9	P	P	P	P
1637438_at	7.8	24.1	5.1	6.3	A	A	A	A
1641266_at	73.5	97.2	85.2	79.4	A	A	A	A
1636216_at	10.6	18.3	9.6	9.3	A	A	A	A
1641598_at	606.7	494.1	81.8	58.4	P	P	P	A
1637955_a_at	1556.7	946.1	1074	441	P	P	P	P
1632538_at	31.3	30.2	8	4.5	A	A	A	A
1628929_s_at	4118.2	4463.1	2843.6	2985.9	P	P	P	P
1627448_at	1977.2	2793.4	2080	2061.1	P	P	P	P
1626232_at	194.8	207.2	252.8	278	P	P	P	P
1640571_at	7.4	4.1	4.5	2.3	A	A	A	A
1629401_s_at	796.1	831.8	508.3	538.8	P	P	P	P
1628928_s_at	19222.5	22379.2	19435	20836.9	P	P	P	P
1633047_at	372.4	300.9	65.6	30.6	P	P	A	A
1629132_at	55.3	60	33.7	22.7	P	P	A	P
1637046_at	218.2	213	490.5	384.1	P	P	P	P
1638449_at	5.2	6.8	3.8	3.3	A	A	A	A
1631438_a_at	29.7	5.2	40.6	14.4	A	A	A	A
1638735_at	4260.6	3366.5	4062.5	2919.3	P	P	P	P
1625489_at	31.1	13.6	4.8	8.8	A	A	A	A
1640499_at	293	291.5	261.9	214.9	P	P	P	P
1624820_at	18.9	26.1	4.2	25.9	A	A	A	A
1631573_a_at	265.8	286.8	54.4	23.9	P	P	P	M
1622959_at	212.2	141.8	232	138.8	P	P	P	P
1638738_s_at	8891.4	7028.3	7332.3	6112	P	P	P	P
1640882_at	6.8	12.5	1.9	9.4	A	A	A	A
1635304_at	7.3	14.1	21.1	25.1	A	A	A	A
1627229_at	111.3	76.4	117.4	45.8	A	P	A	A
1638560_a_at	3573.4	3485.2	1710.3	2544.6	P	P	P	P
1639995_a_at	304.1	275.1	402.9	417.1	P	P	P	P
1641157_at	618.1	650.6	604.9	478.4	P	P	P	P
1638544_at	1093.7	1082.8	908	826.2	P	P	P	P
1631706_at	8	39.6	32.4	14.5	A	A	A	A
1628951_at	2.5	3.6	11.5	9.9	A	A	A	A
1628588_at	274.9	153.5	151.8	75.8	P	P	P	P
1637698_at	87.1	47.3	154.7	73.9	P	P	P	P
1626472_at	62	44.7	299	178.3	A	M	P	P
1630502_at	24.2	12.7	25.4	13.5	A	A	A	M
1635743_at	4224.3	4160	2891.5	3550.5	P	P	P	P
1625634_at	1424.9	1350.8	818	1043.2	P	P	P	P
1638888_at	5.5	1.8	6260	5069.5	A	A	P	P
1630623_a_at	829.1	794	554.6	727.6	P	P	P	P
1632979_at	1870.3	1725.8	2306.8	1704	P	P	P	P
1634991_at	34.6	23.4	44.7	35.2	A	A	A	A
1626260_at	4.5	5.9	2.3	1	A	A	A	A
1632783_a_at	1185.8	1548	1071.1	1060.4	P	P	P	P
1627362_a_at	790.9	742.2	520.3	643.5	P	P	P	P
1628189_at	10.3	7.9	45.6	35.2	A	A	P	P
1627680_at	827.9	638.3	586	600.8	P	P	P	P
1626261_s_at	11242	9553.8	6770.9	5782.4	P	P	P	P
1640566_at	48.4	17.5	44.9	32.3	A	A	A	A
1629547_at	164.5	119.8	88.9	68.2	P	P	P	P
1638053_at	93.6	46.9	93.9	32.7	M	A	P	A
1634036_at	276.2	210.5	66.5	50.2	P	P	M	M
1638069_at	39.8	31	44.8	27.7	A	A	A	A
1623902_at	4805.2	6153.9	5172.2	5808.9	P	P	P	P
1640121_a_at	802.8	817.9	662.6	724.3	P	P	P	P
1638997_at	1173.5	1296	740.6	860.6	P	P	P	P
1631304_a_at	1632.3	1087.9	831.5	631.9	P	P	P	P
1634731_at	13.5	3.5	96	44.9	A	A	A	P
1635364_at	419.5	235.4	554.2	431.4	P	P	P	P
1631387_at	4866	3772.4	2016	965.9	P	P	P	P
1627500_at	300.5	173.2	8	25.5	P	P	A	A
1632490_at	341.2	640.8	711.2	1029	P	P	P	P
1632119_s_at	192.7	224.9	227.6	264.6	P	P	P	P
1636706_at	775.3	568	866.1	607.8	P	P	P	P
1640417_a_at	1301.4	1262.3	683.6	868.9	P	P	P	P
1628550_a_at	2298.5	1818.6	1902.6	1806.6	P	P	P	P
